day_id,condition_text
D0001,Light Rain with Thunder
D0002,Light Rain with Thunder
D0003,Light Rain with Thunder
D0004,Clear and Sunny
D0005,Light Precipitation
D0006,Light Precipitation
D0007,Partly Cloudy
D0008,Light Rain with Thunder
D0009,Light Precipitation
D0010,Light Rain with Thunder
D0011,Cloudy and Overcast
D0012,Cloudy and Overcast
D0013,Cloudy and Overcast
D0014,Light Precipitation
D0015,Light Precipitation
D0016,Light Rain with Thunder
D0017,Mist or Fog
D0018,Light Rain with Thunder
D0019,Clear and Sunny
D0020,Moderate to Heavy Rain
D0021,Light Rain with Thunder
D0022,Light Precipitation
D0023,Light Rain with Thunder
D0024,Mist or Fog
D0025,Light Rain with Thunder
D0026,Light Precipitation
D0027,Light Precipitation
D0028,Partly Cloudy
D0029,Light Precipitation
D0030,Light Rain with Thunder
D0031,Light Precipitation
D0032,Light Rain with Thunder
D0033,Light Precipitation
D0034,Light Rain with Thunder
D0035,Partly Cloudy
D0036,Light Rain with Thunder
D0037,Light Rain with Thunder
D0038,Light Precipitation
D0039,Light Precipitation
D0040,Light Rain with Thunder
D0041,Light Rain with Thunder
D0042,Light Rain with Thunder
D0043,Mist or Fog
D0044,Moderate to Heavy Rain
D0045,Mist or Fog
D0046,Light Precipitation
D0047,Moderate to Heavy Rain
D0048,Moderate to Heavy Rain
D0049,Mist or Fog
D0050,Mist or Fog
D0051,Light Precipitation
D0052,Mist or Fog
D0053,Mist or Fog
D0054,Light Rain with Thunder
D0055,Mist or Fog
D0056,Light Precipitation
D0057,Light Rain with Thunder
D0058,Mist or Fog
D0059,Mist or Fog
D0060,Mist or Fog
D0061,Mist or Fog
D0062,Light Precipitation
D0063,Light Rain with Thunder
D0064,Light Rain with Thunder
D0065,Light Rain with Thunder
D0066,Light Precipitation
D0067,Light Precipitation
D0068,Light Precipitation
D0069,Light Precipitation
D0070,Light Rain with Thunder
D0071,Light Rain with Thunder
D0072,Light Precipitation
D0073,Light Precipitation
D0074,Light Precipitation
D0075,Light Rain with Thunder
D0076,Light Precipitation
D0077,Light Precipitation
D0078,Light Rain with Thunder
D0079,Light Precipitation
D0080,Mist or Fog
D0081,Cloudy and Overcast
D0082,Light Rain with Thunder
D0083,Mist or Fog
D0084,Light Rain with Thunder
D0085,Light Rain with Thunder
D0086,Light Rain with Thunder
D0087,Cloudy and Overcast
D0088,Light Rain with Thunder
D0089,Light Rain with Thunder
D0090,Light Rain with Thunder
D0091,Mist or Fog
D0092,Light Rain with Thunder
D0093,Light Rain with Thunder
D0094,Light Precipitation
D0095,Light Rain with Thunder
D0096,Light Rain with Thunder
D0097,Light Rain with Thunder
D0098,Light Rain with Thunder
D0099,Partly Cloudy
D0100,Light Rain with Thunder
D0101,Light Rain with Thunder
D0102,Light Rain with Thunder
D0103,Cloudy and Overcast
D0104,Mist or Fog
D0105,Cloudy and Overcast
D0106,Clear and Sunny
D0107,Cloudy and Overcast
D0108,Cloudy and Overcast
D0109,Cloudy and Overcast
D0110,Cloudy and Overcast
D0111,Cloudy and Overcast
D0112,Cloudy and Overcast
D0113,Cloudy and Overcast
D0114,Clear and Sunny
D0115,Light Rain with Thunder
D0116,Cloudy and Overcast
D0117,Cloudy and Overcast
D0118,Cloudy and Overcast
D0119,Cloudy and Overcast
D0120,Cloudy and Overcast
D0121,Light Precipitation
D0122,Cloudy and Overcast
D0123,Cloudy and Overcast
D0124,Cloudy and Overcast
D0125,Clear and Sunny
D0126,Light Precipitation
D0127,Partly Cloudy
D0128,Light Precipitation
D0129,Mist or Fog
D0130,Light Precipitation
D0131,Light Precipitation
D0132,Cloudy and Overcast
D0133,Cloudy and Overcast
D0134,Clear and Sunny
D0135,Cloudy and Overcast
D0136,Cloudy and Overcast
D0137,Cloudy and Overcast
D0138,Cloudy and Overcast
D0139,Cloudy and Overcast
D0140,Cloudy and Overcast
D0141,Clear and Sunny
D0142,Light Precipitation
D0143,Light Precipitation
D0144,Clear and Sunny
D0145,Cloudy and Overcast
D0146,Light Precipitation
D0147,Cloudy and Overcast
D0148,Clear and Sunny
D0149,Clear and Sunny
D0150,Clear and Sunny
D0151,Clear and Sunny
D0152,Cloudy and Overcast
D0153,Clear and Sunny
D0154,Cloudy and Overcast
D0155,Clear and Sunny
D0156,Cloudy and Overcast
D0157,Cloudy and Overcast
D0158,Light Rain with Thunder
D0159,Mist or Fog
D0160,Cloudy and Overcast
D0161,Cloudy and Overcast
D0162,Light Precipitation
D0163,Mist or Fog
D0164,Clear and Sunny
D0165,Light Precipitation
D0166,Cloudy and Overcast
D0167,Light Precipitation
D0168,Cloudy and Overcast
D0169,Light Precipitation
D0170,Light Precipitation
D0171,Mist or Fog
D0172,Light Precipitation
D0173,Light Precipitation
D0174,Clear and Sunny
D0175,Light Precipitation
D0176,Light Rain with Thunder
D0177,Light Precipitation
D0178,Light Precipitation
D0179,Cloudy and Overcast
D0180,Cloudy and Overcast
D0181,Light Precipitation
D0182,Light Precipitation
D0183,Light Rain with Thunder
D0184,Light Precipitation
D0185,Cloudy and Overcast
D0186,Clear and Sunny
D0187,Light Precipitation
D0188,Light Precipitation
D0189,Light Rain with Thunder
D0190,Light Precipitation
D0191,Light Precipitation
D0192,Light Precipitation
D0193,Light Precipitation
D0194,Light Precipitation
D0195,Light Precipitation
D0196,Light Precipitation
D0197,Light Precipitation
D0198,Light Precipitation
D0199,Light Rain with Thunder
D0200,Light Rain with Thunder
D0201,Cloudy and Overcast
D0202,Light Precipitation
D0203,Cloudy and Overcast
D0204,Cloudy and Overcast
D0205,Clear and Sunny
D0206,Light Precipitation
D0207,Light Precipitation
D0208,Light Precipitation
D0209,Light Precipitation
D0210,Clear and Sunny
D0211,Light Rain with Thunder
D0212,Light Rain with Thunder
D0213,Clear and Sunny
D0214,Light Rain with Thunder
D0215,Light Rain with Thunder
D0216,Light Rain with Thunder
D0217,Light Rain with Thunder
D0218,Mist or Fog
D0219,Mist or Fog
D0220,Mist or Fog
D0221,Light Precipitation
D0222,Light Rain with Thunder
D0223,Light Rain with Thunder
D0224,Light Rain with Thunder
D0225,Mist or Fog
D0226,Light Rain with Thunder
D0227,Light Rain with Thunder
D0228,Light Precipitation
D0229,Light Precipitation
D0230,Light Precipitation
D0231,Light Rain with Thunder
D0232,Clear and Sunny
D0233,Light Precipitation
D0234,Light Rain with Thunder
D0235,Cloudy and Overcast
D0236,Light Precipitation
D0237,Light Rain with Thunder
D0238,Light Precipitation
D0239,Light Rain with Thunder
D0240,Mist or Fog
D0241,Rain Showers
D0242,Partly Cloudy
D0243,Light Precipitation
D0244,Cloudy and Overcast
D0245,Rain Showers
D0246,Partly Cloudy
D0247,Light Rain with Thunder
D0248,Mist or Fog
D0249,Cloudy and Overcast
D0250,Light Rain with Thunder
D0251,Light Rain with Thunder
D0252,Light Rain with Thunder
D0253,Light Rain with Thunder
D0254,Mist or Fog
D0255,Light Precipitation
D0256,Moderate to Heavy Rain
D0257,Mist or Fog
D0258,Light Precipitation
D0259,Moderate to Heavy Rain
D0260,Light Precipitation
D0261,Clear and Sunny
D0262,Cloudy and Overcast
D0263,Light Precipitation
D0264,Light Precipitation
D0265,Cloudy and Overcast
D0266,Light Rain with Thunder
D0267,Light Rain with Thunder
D0268,Mist or Fog
D0269,Clear and Sunny
D0270,Light Rain with Thunder
D0271,Light Rain with Thunder
D0272,Light Precipitation
D0273,Light Precipitation
D0274,Light Precipitation
D0275,Cloudy and Overcast
D0276,Cloudy and Overcast
D0277,Mist or Fog
D0278,Cloudy and Overcast
D0279,Mist or Fog
D0280,Cloudy and Overcast
D0281,Light Rain with Thunder
D0282,Clear and Sunny
D0283,Cloudy and Overcast
D0284,Light Precipitation
D0285,Cloudy and Overcast
D0286,Cloudy and Overcast
D0287,Light Precipitation
D0288,Light Precipitation
D0289,Cloudy and Overcast
D0290,Light Rain with Thunder
D0291,Light Precipitation
D0292,Light Rain with Thunder
D0293,Light Precipitation
D0294,Cloudy and Overcast
D0295,Light Precipitation
D0296,Light Precipitation
D0297,Clear and Sunny
D0298,Light Precipitation
D0299,Light Precipitation
D0300,Light Precipitation
D0301,Light Precipitation
D0302,Light Precipitation
D0303,Light Precipitation
D0304,Cloudy and Overcast
D0305,Clear and Sunny
D0306,Mist or Fog
D0307,Light Precipitation
D0308,Light Precipitation
D0309,Light Rain with Thunder
D0310,Cloudy and Overcast
D0311,Cloudy and Overcast
D0312,Cloudy and Overcast
D0313,Light Precipitation
D0314,Light Precipitation
D0315,Light Precipitation
D0316,Mist or Fog
D0317,Clear and Sunny
D0318,Light Precipitation
D0319,Mist or Fog
D0320,Light Rain with Thunder
D0321,Mist or Fog
D0322,Light Precipitation
D0323,Light Precipitation
D0324,Cloudy and Overcast
D0325,Light Precipitation
D0326,Light Precipitation
D0327,Light Precipitation
D0328,Cloudy and Overcast
D0329,Light Rain with Thunder
D0330,Mist or Fog
D0331,Moderate to Heavy Rain
D0332,Mist or Fog
D0333,Light Precipitation
D0334,Clear and Sunny
D0335,Mist or Fog
D0336,Light Precipitation
D0337,Light Precipitation
D0338,Light Precipitation
D0339,Light Precipitation
D0340,Light Rain with Thunder
D0341,Cloudy and Overcast
D0342,Light Rain with Thunder
D0343,Light Rain with Thunder
D0344,Light Rain with Thunder
D0345,Thunderstorms
D0346,Light Precipitation
D0347,Moderate to Heavy Rain
D0348,Mist or Fog
D0349,Light Rain with Thunder
D0350,Light Rain with Thunder
D0351,Cloudy and Overcast
D0352,Light Precipitation
D0353,Light Precipitation
D0354,Light Precipitation
D0355,Light Precipitation
D0356,Light Precipitation
D0357,Mist or Fog
D0358,Light Precipitation
D0359,Light Precipitation
D0360,Light Precipitation
D0361,Moderate to Heavy Rain
D0362,Light Precipitation
D0363,Light Precipitation
D0364,Light Precipitation
D0365,Light Rain with Thunder
D0366,Light Rain with Thunder
D0367,Light Precipitation
D0368,Light Precipitation
D0369,Light Rain with Thunder
